"COUNTRY","Country","VARIABLE","Variable","SOURCE","Source","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","USA","United States","DEMAND","Tourism demand surveys","2012","2012",500300,,
"AUS","Australia","USA","United States","DEMAND","Tourism demand surveys","2013","2013",516200,,
"AUS","Australia","USA","United States","DEMAND","Tourism demand surveys","2014","2014",561700,,
"AUS","Australia","USA","United States","DEMAND","Tourism demand surveys","2015","2015",618600,,
"AUS","Australia","USA","United States","DEMAND","Tourism demand surveys","2016","2016",716500,,
"AUS","Australia","USA","United States","DEMAND","Tourism demand surveys","2017","2017",780600,,
"AUS","Australia","USA","United States","DEMAND","Tourism demand surveys","2018","2018",789400,,
"AUS","Australia","USA","United States","DEMAND","Tourism demand surveys","2019","2019",818000,,
"AUS","Australia","USA","United States","DEMAND","Tourism demand surveys","2020","2020",188700,,
"AUS","Australia","USA","United States","DEMAND","Tourism demand surveys","2021","2021",16700,,
"AUS","Australia","SGP","Singapore","DEMAND","Tourism demand surveys","2008","2008",230800,,
"AUS","Australia","SGP","Singapore","DEMAND","Tourism demand surveys","2009","2009",246400,,
"AUS","Australia","SGP","Singapore","DEMAND","Tourism demand surveys","2010","2010",264900,,
"AUS","Australia","SGP","Singapore","DEMAND","Tourism demand surveys","2011","2011",266000,,
"AUS","Australia","SGP","Singapore","DEMAND","Tourism demand surveys","2012","2012",287200,,
"AUS","Australia","SGP","Singapore","DEMAND","Tourism demand surveys","2013","2013",333100,,
"AUS","Australia","SGP","Singapore","DEMAND","Tourism demand surveys","2014","2014",362600,,
"AUS","Australia","SGP","Singapore","DEMAND","Tourism demand surveys","2015","2015",387100,,
"AUS","Australia","SGP","Singapore","DEMAND","Tourism demand surveys","2016","2016",429700,,
"AUS","Australia","SGP","Singapore","DEMAND","Tourism demand surveys","2017","2017",433000,,
"AUS","Australia","SGP","Singapore","DEMAND","Tourism demand surveys","2018","2018",447800,,
"AUS","Australia","SGP","Singapore","DEMAND","Tourism demand surveys","2019","2019",478500,,
"AUS","Australia","SGP","Singapore","DEMAND","Tourism demand surveys","2020","2020",58300,,
"AUS","Australia","SGP","Singapore","DEMAND","Tourism demand surveys","2021","2021",15800,,
"AUS","Australia","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2008","2008",167204700,,
"AUS","Australia","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2009","2009",176094700,,
"AUS","Australia","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2010","2010",186756500,,
"AUS","Australia","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2011","2011",196428300,,
"AUS","Australia","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2012","2012",211095900,,
"AUS","Australia","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2013","2013",218385900,,
"AUS","Australia","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2014","2014",223218200,,
"AUS","Australia","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2015","2015",247726500,,
"AUS","Australia","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2016","2016",252087700,,
"AUS","Australia","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2017","2017",263796900,,
"AUS","Australia","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2018","2018",273793300,,
"AUS","Australia","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2019","2019",274477000,,
"AUS","Australia","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2020","2020",68973400,"E","Estimated value"
"AUS","Australia","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2021","2021",16778900,"E","Estimated value"
"AUS","Australia","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","DEMAND","Tourism demand surveys","2008","2008",22598200,,
"AUS","Australia","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","DEMAND","Tourism demand surveys","2009","2009",21186300,,
"AUS","Australia","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","DEMAND","Tourism demand surveys","2010","2010",21833100,,
"AUS","Australia","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","DEMAND","Tourism demand surveys","2011","2011",21271200,,
"AUS","Australia","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","DEMAND","Tourism demand surveys","2012","2012",21561800,,
"AUS","Australia","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","DEMAND","Tourism demand surveys","2013","2013",21940300,,
"AUS","Australia","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","DEMAND","Tourism demand surveys","2014","2014",23778100,,
"AUS","Australia","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","DEMAND","Tourism demand surveys","2015","2015",25237900,,
"AUS","Australia","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","DEMAND","Tourism demand surveys","2016","2016",27929300,,
"AUS","Australia","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","DEMAND","Tourism demand surveys","2017","2017",28805400,,
"AUS","Australia","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","DEMAND","Tourism demand surveys","2018","2018",29231500,,
"AUS","Australia","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","DEMAND","Tourism demand surveys","2019","2019",28840300,,
"AUS","Australia","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","DEMAND","Tourism demand surveys","2008","2008",81543000,,
"AUS","Australia","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","DEMAND","Tourism demand surveys","2009","2009",89287600,,
"AUS","Australia","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","DEMAND","Tourism demand surveys","2010","2010",92726000,,
"AUS","Australia","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","DEMAND","Tourism demand surveys","2011","2011",100158400,,
"AUS","Australia","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","DEMAND","Tourism demand surveys","2012","2012",107044300,,
"AUS","Australia","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","DEMAND","Tourism demand surveys","2013","2013",108702900,,
"AUS","Australia","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","DEMAND","Tourism demand surveys","2014","2014",106346000,,
"AUS","Australia","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","DEMAND","Tourism demand surveys","2015","2015",118487800,,
"AUS","Australia","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","DEMAND","Tourism demand surveys","2016","2016",120327900,,
"AUS","Australia","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","DEMAND","Tourism demand surveys","2017","2017",126744200,,
"AUS","Australia","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","DEMAND","Tourism demand surveys","2018","2018",135268900,,
"AUS","Australia","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","DEMAND","Tourism demand surveys","2019","2019",138774100,,
"AUS","Australia","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","DEMAND","Tourism demand surveys","2008","2008",63063400,,
"AUS","Australia","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","DEMAND","Tourism demand surveys","2009","2009",65620800,,
"AUS","Australia","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","DEMAND","Tourism demand surveys","2010","2010",72197300,,
"AUS","Australia","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","DEMAND","Tourism demand surveys","2011","2011",74998700,,
"AUS","Australia","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","DEMAND","Tourism demand surveys","2012","2012",82489800,,
"AUS","Australia","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","DEMAND","Tourism demand surveys","2013","2013",87742700,,
"AUS","Australia","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","DEMAND","Tourism demand surveys","2014","2014",93094100,,
"AUS","Australia","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","DEMAND","Tourism demand surveys","2015","2015",104000800,,
"AUS","Australia","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","DEMAND","Tourism demand surveys","2016","2016",103830500,,
"AUS","Australia","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","DEMAND","Tourism demand surveys","2017","2017",108247300,,
"AUS","Australia","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","DEMAND","Tourism demand surveys","2018","2018",109292900,,
"AUS","Australia","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","DEMAND","Tourism demand surveys","2019","2019",106862600,,
"AUT","Austria","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2008","2008",21935409,,
"AUT","Austria","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2009","2009",21355440,,
"AUT","Austria","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2010","2010",22004266,,
"AUT","Austria","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2011","2011",23011956,,
"AUT","Austria","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2012","2012",24150776,,
"AUT","Austria","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2013","2013",24813128,,
"AUT","Austria","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2014","2014",25291371,,
"AUT","Austria","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2015","2015",26727634,,
"AUT","Austria","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2016","2016",28120644,,
"AUT","Austria","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2017","2017",29460335,,
"AUT","Austria","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2018","2018",30815744,,
"AUT","Austria","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2019","2019",31883731,,
"AUT","Austria","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2020","2020",15090928,,
"AUT","Austria","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2021","2021",12728020,,
"AUT","Austria","CHE_LIE","Switzerland and Liechtenstein","SUPPLY","Tourism supply surveys","2008","2008",960362,,
"AUT","Austria","CHE_LIE","Switzerland and Liechtenstein","SUPPLY","Tourism supply surveys","2009","2009",994589,,
"AUT","Austria","CHE_LIE","Switzerland and Liechtenstein","SUPPLY","Tourism supply surveys","2010","2010",1053566,,
"AUT","Austria","CHE_LIE","Switzerland and Liechtenstein","SUPPLY","Tourism supply surveys","2011","2011",1198958,,
"AUT","Austria","CHE_LIE","Switzerland and Liechtenstein","SUPPLY","Tourism supply surveys","2012","2012",1275578,,
"AUT","Austria","CHE_LIE","Switzerland and Liechtenstein","SUPPLY","Tourism supply surveys","2013","2013",1281675,,
"AUT","Austria","CHE_LIE","Switzerland and Liechtenstein","SUPPLY","Tourism supply surveys","2014","2014",1309660,,
"AUT","Austria","CHE_LIE","Switzerland and Liechtenstein","SUPPLY","Tourism supply surveys","2015","2015",1400447,,
"AUT","Austria","CHE_LIE","Switzerland and Liechtenstein","SUPPLY","Tourism supply surveys","2016","2016",1446447,,
"AUT","Austria","CHE_LIE","Switzerland and Liechtenstein","SUPPLY","Tourism supply surveys","2017","2017",1454029,,
"AUT","Austria","CHE_LIE","Switzerland and Liechtenstein","SUPPLY","Tourism supply surveys","2018","2018",1445342,,
"AUT","Austria","CHE_LIE","Switzerland and Liechtenstein","SUPPLY","Tourism supply surveys","2019","2019",1450905,,
"AUT","Austria","CHE_LIE","Switzerland and Liechtenstein","SUPPLY","Tourism supply surveys","2020","2020",805117,,
"AUT","Austria","CHE_LIE","Switzerland and Liechtenstein","SUPPLY","Tourism supply surveys","2021","2021",573167,,
"AUT","Austria","DEU","Germany","SUPPLY","Tourism supply surveys","2008","2008",10709251,,
"AUT","Austria","DEU","Germany","SUPPLY","Tourism supply surveys","2009","2009",10622837,,
"AUT","Austria","DEU","Germany","SUPPLY","Tourism supply surveys","2010","2010",10706153,,
"AUT","Austria","DEU","Germany","SUPPLY","Tourism supply surveys","2011","2011",10929670,,
"AUT","Austria","DEU","Germany","SUPPLY","Tourism supply surveys","2012","2012",11411557,,
"AUT","Austria","DEU","Germany","SUPPLY","Tourism supply surveys","2013","2013",11758193,,
"AUT","Austria","DEU","Germany","SUPPLY","Tourism supply surveys","2014","2014",11750027,,
"AUT","Austria","DEU","Germany","SUPPLY","Tourism supply surveys","2015","2015",12140737,,
"AUT","Austria","DEU","Germany","SUPPLY","Tourism supply surveys","2016","2016",12986055,,
"AUT","Austria","DEU","Germany","SUPPLY","Tourism supply surveys","2017","2017",13442884,,
"AUT","Austria","DEU","Germany","SUPPLY","Tourism supply surveys","2018","2018",14092157,,
"AUT","Austria","DEU","Germany","SUPPLY","Tourism supply surveys","2019","2019",14383461,,
"AUT","Austria","DEU","Germany","SUPPLY","Tourism supply surveys","2020","2020",8550057,,
"AUT","Austria","DEU","Germany","SUPPLY","Tourism supply surveys","2021","2021",7809805,,
"AUT","Austria","GBR","United Kingdom","SUPPLY","Tourism supply surveys","2008","2008",825313,,
"AUT","Austria","GBR","United Kingdom","SUPPLY","Tourism supply surveys","2009","2009",701247,,
"AUT","Austria","GBR","United Kingdom","SUPPLY","Tourism supply surveys","2010","2010",731417,,
"AUT","Austria","GBR","United Kingdom","SUPPLY","Tourism supply surveys","2011","2011",709209,,
"AUT","Austria","GBR","United Kingdom","SUPPLY","Tourism supply surveys","2012","2012",740972,,
"AUT","Austria","GBR","United Kingdom","SUPPLY","Tourism supply surveys","2013","2013",774117,,
"AUT","Austria","GBR","United Kingdom","SUPPLY","Tourism supply surveys","2014","2014",802552,,
"AUT","Austria","GBR","United Kingdom","SUPPLY","Tourism supply surveys","2015","2015",875776,,
"AUT","Austria","GBR","United Kingdom","SUPPLY","Tourism supply surveys","2016","2016",919623,,
"AUT","Austria","GBR","United Kingdom","SUPPLY","Tourism supply surveys","2017","2017",941512,,
"AUT","Austria","GBR","United Kingdom","SUPPLY","Tourism supply surveys","2018","2018",995677,,
"AUT","Austria","GBR","United Kingdom","SUPPLY","Tourism supply surveys","2019","2019",966102,,
"AUT","Austria","GBR","United Kingdom","SUPPLY","Tourism supply surveys","2020","2020",304198,,
"AUT","Austria","GBR","United Kingdom","SUPPLY","Tourism supply surveys","2021","2021",86392,,
"AUT","Austria","ITA","Italy","SUPPLY","Tourism supply surveys","2008","2008",1033306,,
"AUT","Austria","ITA","Italy","SUPPLY","Tourism supply surveys","2009","2009",1056488,,
"AUT","Austria","ITA","Italy","SUPPLY","Tourism supply surveys","2010","2010",1067721,,
"AUT","Austria","ITA","Italy","SUPPLY","Tourism supply surveys","2011","2011",1086957,,
"AUT","Austria","ITA","Italy","SUPPLY","Tourism supply surveys","2012","2012",1060105,,
"AUT","Austria","ITA","Italy","SUPPLY","Tourism supply surveys","2013","2013",1023530,,
"AUT","Austria","ITA","Italy","SUPPLY","Tourism supply surveys","2014","2014",1051490,,
"AUT","Austria","ITA","Italy","SUPPLY","Tourism supply surveys","2015","2015",1122970,,
"AUT","Austria","ITA","Italy","SUPPLY","Tourism supply surveys","2016","2016",1102399,,
"AUT","Austria","ITA","Italy","SUPPLY","Tourism supply surveys","2017","2017",1102081,,
"AUT","Austria","ITA","Italy","SUPPLY","Tourism supply surveys","2018","2018",1098950,,
"AUT","Austria","ITA","Italy","SUPPLY","Tourism supply surveys","2019","2019",1107823,,
"AUT","Austria","ITA","Italy","SUPPLY","Tourism supply surveys","2020","2020",331077,,
"AUT","Austria","ITA","Italy","SUPPLY","Tourism supply surveys","2021","2021",335431,,
"AUT","Austria","NLD","Netherlands","SUPPLY","Tourism supply surveys","2008","2008",1650134,,
"AUT","Austria","NLD","Netherlands","SUPPLY","Tourism supply surveys","2009","2009",1654959,,
"AUT","Austria","NLD","Netherlands","SUPPLY","Tourism supply surveys","2010","2010",1617692,,
"AUT","Austria","NLD","Netherlands","SUPPLY","Tourism supply surveys","2011","2011",1644620,,
"AUT","Austria","NLD","Netherlands","SUPPLY","Tourism supply surveys","2012","2012",1714513,,
"AUT","Austria","NLD","Netherlands","SUPPLY","Tourism supply surveys","2013","2013",1673536,,
"AUT","Austria","NLD","Netherlands","SUPPLY","Tourism supply surveys","2014","2014",1671581,,
"AUT","Austria","NLD","Netherlands","SUPPLY","Tourism supply surveys","2015","2015",1735184,,
"AUT","Austria","NLD","Netherlands","SUPPLY","Tourism supply surveys","2016","2016",1862885,,
"AUT","Austria","NLD","Netherlands","SUPPLY","Tourism supply surveys","2017","2017",1934724,,
"AUT","Austria","NLD","Netherlands","SUPPLY","Tourism supply surveys","2018","2018",2001096,,
"AUT","Austria","NLD","Netherlands","SUPPLY","Tourism supply surveys","2019","2019",2074446,,
"AUT","Austria","NLD","Netherlands","SUPPLY","Tourism supply surveys","2020","2020",1361190,,
"AUT","Austria","NLD","Netherlands","SUPPLY","Tourism supply surveys","2021","2021",934252,,
"AUT","Austria","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2008","2008",92839547,,
"AUT","Austria","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2009","2009",89864133,,
"AUT","Austria","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2010","2010",89857167,,
"AUT","Austria","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2011","2011",90705554,,
"AUT","Austria","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2012","2012",95051917,,
"AUT","Austria","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2013","2013",96874372,,
"AUT","Austria","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2014","2014",96233027,,
"AUT","Austria","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2015","2015",98824173,,
"AUT","Austria","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2016","2016",102863435,,
"AUT","Austria","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2017","2017",105977117,,
"AUT","Austria","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2018","2018",110429735,,
"AUT","Austria","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2019","2019",112764852,,
"AUT","Austria","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2020","2020",66279622,,
"AUT","Austria","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2021","2021",49964139,,
"AUT","Austria","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2008","2008",70723615,,
"AUT","Austria","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2009","2009",68209284,,
"AUT","Austria","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2010","2010",68749161,,
"AUT","Austria","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2011","2011",69718286,,
